Priority,Relevance Score,Name,Email,Category,Target Audience,Suggested Approach,Reasoning,URL
MEDIUM,7,Poetry,poetry@imperial.ac.uk,Hobbies,Arts enthusiasts; Creative students; Social students,Offer to promote their open mic nights and annual anthology to the wider London university arts community.,Poetry society's open mics and annual anthology can attract students from across London's creative scene.,https://www.imperialcollegeunion.org/activities/a-to-z/poetry
MEDIUM,7,Pokemon,icpokesoc@imperial.ac.uk,Hobbies,Gaming enthusiasts; Social students; Hobbyists,Suggest promoting their inter-university tournaments and market crawls to similar gaming communities across London.,Pokemon society hosts market crawls and inter-uni tourneys that are public-facing events.,https://www.imperialcollegeunion.org/activities/a-to-z/pokemon
MEDIUM,7,Prototyping and Hacking Society,prototyping@imperial.ac.uk,Academic Related,Tech enthusiasts; Engineering students; Design students,Offer to promote their workshops and hackathons to other tech and engineering students across London universities.,Prototyping and Hacking Society likely runs workshops and collaborative events with a broader audience.,https://www.imperialcollegeunion.org/activities/a-to-z/prototyping-and-hacking-society
MEDIUM,7,Punjabi,punjabi@imperial.ac.uk,Cultural,Cultural students; Social students; Foodies,"Offer to promote their cultural events (dinner nights, movie nights, Bhangra classes) to other London universities.","Punjabi society hosts cultural events (food, dance, movies) that have cross-university appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/punjabi
MEDIUM,7,Racing,icracing@imperial.ac.uk,Community,Engineering students; Tech enthusiasts; Outdoor enthusiasts,Suggest promoting their involvement in the Shell Eco-Marathon and Formula Student competition to engineering students in other unis.,Racing society's Shell Eco-Marathon can involve students from across the UK.,https://www.imperialcollegeunion.org/activities/a-to-z/racing
MEDIUM,7,RAG,rag@imperial.ac.uk,Community,Social students; Volunteers; Charity supporters,Offer to promote their fundraising events to students interested in volunteering and charity work across London.,RAG organizes large-scale fundraising events with broad appeal.,https://www.imperialcollegeunion.org/activities/a-to-z/rag
MEDIUM,7,Robotics,icrobotics@imperial.ac.uk,Community,Tech enthusiasts; Engineering students; Design students,Promote their open lab access and robotics workshops to similar student communities in other universities.,Robotics Society provides open lab space for students from every faculty.,https://www.imperialcollegeunion.org/activities/a-to-z/robotics
MEDIUM,7,Romanian,romanian@imperial.ac.uk,Cultural,Cultural students; Social students; Language learners,"Promote cultural events, which create a sense of community for Romanians in London.","Romanian society aims to host cultural events within London, contributing to the student's experience.",https://www.imperialcollegeunion.org/activities/a-to-z/romanian
MEDIUM,7,Russian Speaking,russian@imperial.ac.uk,Cultural,Cultural students; Social students; Language learners,"Publicize social gatherings, sports, and networking events to promote inclusiveness.",Russian Speaking society welcomes students who speak Russian and those who are interested in learning.,https://www.imperialcollegeunion.org/activities/a-to-z/russian-speaking
MEDIUM,7,Saudi,union@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Promote events that celebrate Saudi culture and showcase science advancements in the country.,Saudi society promotes the advancement of Saudi Arabia in science and technology and welcomes those outside of the community.,https://www.imperialcollegeunion.org/activities/a-to-z/saudi
MEDIUM,7,Science Fiction and Fantasy,icsf@imperial.ac.uk,Hobbies,Hobbyists; Social students; Arts enthusiasts,"Promote social events, like movie nights, to build an inclusive atmosphere.",Science Fiction and Fantasy has a lending library and social space.,https://www.imperialcollegeunion.org/activities/a-to-z/science-fiction-and-fantasy
MEDIUM,7,Sea Shanty,seashanty@imperial.ac.uk,Hobbies,Arts enthusiasts; Social students; Hobbyists,Promote practices and social sailing trips for all pirates and crewmates.,Sea Shanty society welcomes those who enjoy singing.,https://www.imperialcollegeunion.org/activities/a-to-z/sea-shanty
MEDIUM,7,Sikh,sikh@imperial.ac.uk,Community,Cultural students; Social students; Spiritual students,Market collaborative Nishaan organization events and inter-university events to bring people together.,Sikh society shares teachings of Sikhi and networks with others across London.,https://www.imperialcollegeunion.org/activities/a-to-z/sikh
MEDIUM,7,Singapore,singapore@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Announce fun-filled activities to embrace being Singaporean and to connect with fellow Singaporeans.,Singapore society celebrates Singaporean culture and embraces Singaporean identity.,https://www.imperialcollegeunion.org/activities/a-to-z/singapore
MEDIUM,7,Skate Society,skate@imperial.ac.uk,Hobbies,Social students; Sports students; Hobbyists,Promote opportunities to get people skating with roller and ice-discos.,"Skate Society welcomes all levels to participate, especially teaching to skate to other students.",https://www.imperialcollegeunion.org/activities/a-to-z/skate-society
MEDIUM,7,Snooker & Pool,snooker@imperial.ac.uk,Hobbies,Social students; Hobby enthusiasts; Sports enthusiasts,Highlight the social events and welcoming atmosphere to encourage participation from different universities.,"Snooker & Pool hosts regular socials and competitions, making it appealing to a broad range of students looking for social activities.",https://www.imperialcollegeunion.org/activities/a-to-z/snooker-pool
MEDIUM,7,Soup Run,souprun@imperial.ac.uk,Community,Volunteers; Socially conscious students,Showcase the impact of their work and the opportunities for students to contribute to the community.,Soup Run is a community service that can appeal to students looking for volunteer opportunities across London.,https://www.imperialcollegeunion.org/activities/a-to-z/soup-run
MEDIUM,7,STEM Muslims Society,union@imperial.ac.uk,Community,STEM students; Muslim students; Career-focused students,Promote collaborative events with other universities to increase visibility and participation.,"STEM Muslims Society connects students across universities through careers fairs, hackathons and speaker talks.",https://www.imperialcollegeunion.org/activities/a-to-z/stem-muslims-society
MEDIUM,7,String Ensemble,icse@imperial.ac.uk,Arts & Entertainment,Music lovers; Arts students; Classical music enthusiasts,Promote their concerts and performances to attract students interested in classical music.,String Ensemble offers musical performances that can be appreciated by a wide audience.,https://www.imperialcollegeunion.org/activities/a-to-z/string-ensemble
MEDIUM,7,Surf,surf@imperial.ac.uk,Outdoor,Sports enthusiasts; Outdoor adventurers; Social students,Promote their trips to Cornwall and offer introductory sessions to attract new members.,Surf trips can attract students from different universities who are interested in watersports and outdoor activities.,https://www.imperialcollegeunion.org/activities/a-to-z/surf
MEDIUM,7,Tabletop Gaming,wargames@imperial.ac.uk,Hobbies,Hobby enthusiasts; Social students; Gaming students,Promote their regular meetups and welcoming atmosphere to attract students from across London.,"Tabletop Gaming has growing popularity and a friendly atmosphere, attracting students from various backgrounds.",https://www.imperialcollegeunion.org/activities/a-to-z/tabletop-gaming
MEDIUM,7,Tea,teasoc@imperial.ac.uk,Hobbies,Social students; Hobby enthusiasts,Emphasize the relaxing environment and social opportunities to attract students seeking a break from studies.,Tea Society provides a relaxing social space that may appeal to students from all universities seeking respite.,https://www.imperialcollegeunion.org/activities/a-to-z/tea
MEDIUM,7,Tennis,lawn.tennis@imperial.ac.uk,Sports,Sports enthusiasts; Social students; Tennis players,Highlight social sessions for beginners and promote matches to attract a wider audience from all skill levels.,Tennis club offers social sessions and competition opportunities for different skill levels.,https://www.imperialcollegeunion.org/activities/a-to-z/tennis
MEDIUM,7,Turkish,turkish@imperial.ac.uk,Cultural,Cultural students; International students; Social students,Showcase opportunities where participants can learn more about the heritage.,Turkish society can collaborate with other universities by hosting cultural events that are interactive.,https://www.imperialcollegeunion.org/activities/a-to-z/turkish
MEDIUM,7,Ukrainian,UkrainianSociety@imperial.ac.uk,Cultural,Cultural students; Social students; International students; Humanitarian supporters,Promote events where aid is raised and support from Ukrainian students can occur.,"Ukrainian Society is raising awareness and supporting humanitarian aid, making this appeal more than niche.",https://www.imperialcollegeunion.org/activities/a-to-z/ukrainian
MEDIUM,7,VegSoc,union@imperial.ac.uk,Hobbies,Cultural students; Hobby enthusiasts; Ethical eaters,Organize vegan or vegetarian feasts to promote an environment for students to gather.,VegSoc can create engaging activities through promoting ethical eating.,https://www.imperialcollegeunion.org/activities/a-to-z/vegsoc
MEDIUM,7,WenHua Chinese Drama Society,wenhuachinesedramasociety@imperial.ac.uk,Cultural,Arts students; Cultural enthusiasts; Drama students,Inquire about upcoming performances and offer LSN's platform to promote them to drama enthusiasts across London universities.,"Drama societies can sometimes host performances and workshops that attract a wider audience, especially from other universities' drama societies.",https://www.imperialcollegeunion.org/activities/a-to-z/wenhua-chinese-drama-society
MEDIUM,6,Aeronautics,aerosoc@imperial.ac.uk,Departmental,Engineering students; Career-focused students,Inquire about public lectures or events suitable for aerospace enthusiasts from other universities.,"Aeronautics society focuses on career talks, which might have limited cross-university appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/aeronautics
MEDIUM,6,American Football,american.football@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Promote their games and tournaments to attract a larger audience from other universities.,"American Football games can attract spectators, but core focus is on team members.",https://www.imperialcollegeunion.org/activities/a-to-z/american-football
MEDIUM,6,Arabic,arabsoc@imperial.ac.uk,Cultural,Cultural students; Social students,Ask about planned cultural events or celebrations that would be of interest to a broader audience.,"Arabic society promotes culture, but description lacks specific event details.",https://www.imperialcollegeunion.org/activities/a-to-z/arabic
MEDIUM,6,Art Club,leonardo@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Hobbyists,Request information about upcoming exhibitions or workshops open to students from other universities.,"Art Club's description is limited, but art exhibitions/workshops can be cross-disciplinary.",https://www.imperialcollegeunion.org/activities/a-to-z/art-club
MEDIUM,6,Baseball and Softball,baseball@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Promote their games and tournaments to attract a larger audience from other universities.,Baseball and Softball can attract spectators who played the sport previously.,https://www.imperialcollegeunion.org/activities/a-to-z/baseball-and-softball
MEDIUM,6,Bio Engineering,bioengsoc@imperial.ac.uk,Departmental,Engineering students; Social students; Career-focused students,"Promote events with a broader appeal, such as therapy dog sessions or quiz nights.",Bio Engineering society organizes a range of events from social to career focused.,https://www.imperialcollegeunion.org/activities/a-to-z/bio-engineering
MEDIUM,6,Biochemistry,biochemsoc@imperial.ac.uk,Departmental,Science students; Social students; Career-focused students,"Promote events with a broader appeal, such as Winter Wonderland trips.",Biochemistry society organizes a range of events from social to academic focused.,https://www.imperialcollegeunion.org/activities/a-to-z/biochemistry
MEDIUM,6,Biology,biosoc@imperial.ac.uk,Departmental,Science students; Social students; Career-focused students,"Promote events with a broader appeal, such as Kew Gardens trips.",Biology society organizes a range of events from social to academic focused.,https://www.imperialcollegeunion.org/activities/a-to-z/biology
MEDIUM,6,Bioscience Review,bioscireview@imperial.ac.uk,Academic Related,Science students; Writing enthusiasts,Promote their call for submissions to attract writers from other universities.,"Bioscience Review provides a platform for publishing student articles, could attract writers.",https://www.imperialcollegeunion.org/activities/a-to-z/bioscience-review
MEDIUM,6,Book,bookclub@imperial.ac.uk,Hobbies,Book lovers; Social students,Promote their events to increase external attendees.,Book club hosts book swaps and events that are open to a wide range of students.,https://www.imperialcollegeunion.org/activities/a-to-z/book
MEDIUM,6,Boxing,boxing@imperial.ac.uk,Sports,Sports enthusiasts; Fitness enthusiasts,Promote their beginner classes and open training sessions.,"Boxing, though sport-focused, can attract interest for fitness/self-defense classes.",https://www.imperialcollegeunion.org/activities/a-to-z/boxing
MEDIUM,6,Bridge,bridgeclub@imperial.ac.uk,Hobbies,Hobbyists; Strategy game enthusiasts,Promote beginner workshops and friendly games to attract new players.,Bridge society hosts events and competitions that might attract some level of interest.,https://www.imperialcollegeunion.org/activities/a-to-z/bridge
MEDIUM,6,Calisthenics,union@imperial.ac.uk,Sports,Sports enthusiasts; Fitness community; Social students,Suggest promoting any fitness-related workshops or open training sessions.,Calisthenics might host workshops or demonstrations that could be of interest to fitness enthusiasts across universities.,https://www.imperialcollegeunion.org/activities/a-to-z/calisthenics
MEDIUM,6,Chess,chess@imperial.ac.uk,Hobbies,Hobbyists; Game enthusiasts; Social students,Suggest hosting inter-university chess tournaments or casual play sessions.,Chess club events could be open to chess enthusiasts from other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/chess
MEDIUM,6,Christian Union,cu@imperial.ac.uk,Community,Social students; Community members; Religious students,Promote events that tackle common questions about life and beliefs.,Christian Union might host events that address questions about life and faith that could be of interest to students from other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/christian-union
MEDIUM,6,Coding (ICSM),icsmcoding@imperial.ac.uk,Academic Related,Medical students; Tech enthusiasts; Coding students,Promote events that explain the relevance and application of coding in medicine.,Coding society offers beginner-level coding tutorials in the field of medicine which is good to reach a slightly bigger crowd.,https://www.imperialcollegeunion.org/activities/a-to-z/coding-icsm
MEDIUM,6,Cricket,cricket.club@imperial.ac.uk,Sports,Sports Enthusiasts; Social Students,Promote their beginner-friendly games.,Cricket attracts a smaller group of people but there could be casual interest.,https://www.imperialcollegeunion.org/activities/a-to-z/cricket
MEDIUM,6,Cross Country & Athletics,run@imperial.ac.uk,Sports,Sports Enthusiasts; Fitness Community,Promote the cross country races.,Athletics and CC may have potential but depends if external unis are allowed to join.,https://www.imperialcollegeunion.org/activities/a-to-z/cross-country-athletics
MEDIUM,6,Debating,debate@imperial.ac.uk,Academic Related,Debate enthusiasts; Social students,Show the debating events open to public,Debating could have external interest.,https://www.imperialcollegeunion.org/activities/a-to-z/debating
MEDIUM,6,Estonian,union@imperial.ac.uk,Cultural,Cultural students; Social students,Suggest joint cultural events with other international student societies.,Estonian society could host cultural events that appeal to students interested in international cultures.,https://www.imperialcollegeunion.org/activities/a-to-z/estonian
MEDIUM,6,Fellwanderers (Imperial Hiking Society),fellsoc@imperial.ac.uk,Outdoor,Outdoor students; Social students; Hobbyists,Suggest promoting their hiking trips to other London university students interested in outdoor activities.,Fellwanderers could attract people looking for outdoor activities from any university,https://www.imperialcollegeunion.org/activities/a-to-z/fellwanderers-imperial-hiking-society
MEDIUM,6,Filipino Society,filipinosociety@imperial.ac.uk,Cultural,Cultural students; Social students,Suggest joint cultural events with other international student societies.,Filipino society could host cultural events that appeal to students interested in international cultures.,https://www.imperialcollegeunion.org/activities/a-to-z/filipino-society
MEDIUM,6,French,french@imperial.ac.uk,Cultural,Cultural students; Social students,Suggest joint cultural events with other international student societies.,French society could host cultural events that appeal to students interested in international cultures.,https://www.imperialcollegeunion.org/activities/a-to-z/french
MEDIUM,6,Game Development,union@imperial.ac.uk,Hobbies,Tech enthusiasts; Hobbyists,Suggest promoting their events to other London university students interested in game development.,Game Development has the potential to attract students interested in the career path.,https://www.imperialcollegeunion.org/activities/a-to-z/game-development
MEDIUM,6,German,germanic@imperial.ac.uk,Cultural,Cultural students; Social students,Suggest joint cultural events with other international student societies.,German society could host cultural events that appeal to students interested in international cultures.,https://www.imperialcollegeunion.org/activities/a-to-z/german
MEDIUM,6,Hellenic,hellenic@imperial.ac.uk,Cultural,Cultural students; Social students,Suggest joint cultural events with other international student societies.,Hellenic society could host cultural events that appeal to students interested in international cultures.,https://www.imperialcollegeunion.org/activities/a-to-z/hellenic
MEDIUM,6,History,history.society@imperial.ac.uk,Academic Related,Social students; History buffs; Academic students,Focus on promoting their free lectures and joint events with other universities to reach a broader student demographic.,"History Society's socials, museum trips, and public lectures have some cross-university appeal, particularly to those interested in history.",https://www.imperialcollegeunion.org/activities/a-to-z/history
MEDIUM,6,Imperial Cubing League,ICCubingLeague@imperial.ac.uk,Hobbies,Hobbyists; Problem solvers,Promote their competitions and workshops to students at other universities with an interest in puzzles and speedcubing.,Cubing League's competitions and workshops could attract students interested in puzzles and competitive problem-solving.,https://www.imperialcollegeunion.org/activities/a-to-z/imperial-cubing-league
MEDIUM,6,Infectious Diseases Society,infectious.diseases@imperial.ac.uk,ICSM,Medical students; Science enthusiasts,Promote their public health events and research workshops to students at other universities with an interest in science and medicine.,Infectious Diseases Society's public health events and research workshops could attract students interested in science and public health.,https://www.imperialcollegeunion.org/activities/a-to-z/infectious-diseases-society
MEDIUM,6,Iranian,iranians@imperial.ac.uk,Cultural,Cultural enthusiasts; Iranian students,Promote their cultural events to students interested in Middle Eastern culture at other London universities.,"Iranian Society's cultural events could attract students interested in Iranian culture, offering some cross-university appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/iranian
MEDIUM,6,Islamic,islam@imperial.ac.uk,Community,Religious students; Community members; Islamic students,Promote their Friday prayers and social gatherings to Muslim students at other London universities.,"Islamic Society's events and services could attract Muslim students from other universities, particularly for prayer and social gatherings.",https://www.imperialcollegeunion.org/activities/a-to-z/islamic
MEDIUM,6,Italian,italian@imperial.ac.uk,Cultural,Cultural enthusiasts; Foodies; Italian students,Promote their Italian-themed events and cooking gatherings to students at other London universities.,"Italian Society's events could attract students interested in Italian culture and cuisine, offering some cross-university appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/italian
MEDIUM,6,Jewish,jsoc@imperial.ac.uk,Community,Religious students; Community members; Jewish students,Promote their Shabbat dinners and cultural events to Jewish students at other London universities.,"Jewish Society's events could attract Jewish students from other universities, particularly for religious and cultural gatherings.",https://www.imperialcollegeunion.org/activities/a-to-z/jewish
MEDIUM,6,Law,lawsoc@imperial.ac.uk,Academic Related,Law students; Academic students; Career-focused students,Promote events to other students to increase visibility.,Law Society provides skills for jobs and is open to a bigger audience.,https://www.imperialcollegeunion.org/activities/a-to-z/law
MEDIUM,6,Mahjong,mah.jong@imperial.ac.uk,Hobbies,Hobbyists; Social students; Gaming enthusiasts,Suggest promoting their weekly sessions to students interested in learning a new game and connecting with others.,"Mahjong is a hobby that can attract students from various backgrounds, and they may be looking to expand their membership.",https://www.imperialcollegeunion.org/activities/a-to-z/mahjong
MEDIUM,6,Metal,rocksoc@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers,Offer them a pilot run to check for audience appeal,"Metal societies might appeal across universities, but a niche interest.",https://www.imperialcollegeunion.org/activities/a-to-z/metal
MEDIUM,6,Motorsports,motor@imperial.ac.uk,Sports,Social students; Engineering students; Sports enthusiasts,Offer to promote their karting events to attract more participants from other universities.,Motorsports can attract a wide audience of car lovers.,https://www.imperialcollegeunion.org/activities/a-to-z/motorsports
MEDIUM,6,Neuro,neuro@imperial.ac.uk,ICSM,Medical students; STEM students; Academic students,Offer to promote their 'Meeting of the Minds' conference to students interested in neuroscience across London.,Neuro organises a large student-led neuroscience conference that may be a great place to start.,https://www.imperialcollegeunion.org/activities/a-to-z/neuro
MEDIUM,6,PASS,hkpass@imperial.ac.uk,Community,Social students; Students interested in wellness,Offer assistance in the promoting their awareness campaigns.,Public Awareness and Service Society have outreach programs.,https://www.imperialcollegeunion.org/activities/a-to-z/pass
MEDIUM,6,Philosophy,philosophy@imperial.ac.uk,Academic Related,Academic students; Social students,Offer help in increasing student sign ups.,Philosophy society targets critical thinkers.,https://www.imperialcollegeunion.org/activities/a-to-z/philosophy
MEDIUM,6,Physics,physics.society@imperial.ac.uk,Departmental,Science students; Academic students; Physics enthusiasts,Suggest promoting their guest lectures to students in related fields at other universities.,Physics society hosts lectures and tours which may be of interest to other science students.,https://www.imperialcollegeunion.org/activities/a-to-z/physics
MEDIUM,6,Pilots,pilots@imperial.ac.uk,Outdoor,Outdoor enthusiasts; Engineering students; Aviation lovers,Suggest promoting their industry visits and flying experience opportunities to aviation enthusiasts at other universities.,"Pilots society offers discounted flying experiences and industry visits, which could attract students interested in aviation.",https://www.imperialcollegeunion.org/activities/a-to-z/pilots
MEDIUM,6,Polish,polsoc@imperial.ac.uk,Cultural,Cultural students; Social students; Language learners,"Offer to promote their cultural events (e.g., film screenings, cooking classes) to students interested in Polish culture.",Polish society could host cultural events that attract students interested in Polish culture.,https://www.imperialcollegeunion.org/activities/a-to-z/polish
MEDIUM,6,Quiz,quiz@imperial.ac.uk,Hobbies,Academic students; Social students; Hobbyists,Ask if they host inter-university quiz nights or trivia events that LSN could promote to a wider audience.,Quiz society's events can be interesting for a broad audience and potentially inter-uni.,https://www.imperialcollegeunion.org/activities/a-to-z/quiz
MEDIUM,6,Rail and Transport,icrs@imperial.ac.uk,Community,Engineering students; Outdoor enthusiasts; Transportation enthusiasts,"Promote their events, especially the volunteer weekend, to students interested in transport across London.",Rail and Transport Society offers unique experiences that could appeal to transport enthusiasts.,https://www.imperialcollegeunion.org/activities/a-to-z/rail-and-transport
MEDIUM,6,Robotics Academy,roboticsacademy@imperial.ac.uk,Community,Tech enthusiasts; Engineering students,Offer to promote their beginner-friendly workshops and courses to students across London who are interested in robotics.,Robotics Academy caters to beginners and may be relevant to other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/robotics-academy
MEDIUM,6,Sexpression,union@imperial.ac.uk,Community,Social students; Volunteers; Education students,Promote teaching and training for students interested in making a difference in UK sex education.,Sexpression offers teaching and training experience.,https://www.imperialcollegeunion.org/activities/a-to-z/sexpression
MEDIUM,6,Sign Language,signsociety@imperial.ac.uk,Academic Related,Social students; Academic students; Language learners,Promote inclusive meetings and theatre visits to bridge the communication gap.,Sign Language society raises awareness about BSL and bridging the gap between the Deaf and hearing communities.,https://www.imperialcollegeunion.org/activities/a-to-z/sign-language
MEDIUM,6,Snowsports,ski@imperial.ac.uk,Sports,Sports enthusiasts; Outdoor adventurers; Social students,Focus on promoting trips and events that offer a unique experience to students outside Imperial.,"Snowsports trips can attract students from other universities, especially if they are well-organized and advertised.",https://www.imperialcollegeunion.org/activities/a-to-z/snowsports
MEDIUM,6,Southern African Society,union@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Inquire about upcoming events that celebrate Southern African culture and promote them to a wider audience.,"Similar to Somali Society, Southern African Society focuses on cultural events, potentially attracting students interested in Southern African culture.",https://www.imperialcollegeunion.org/activities/a-to-z/southern-african-society
MEDIUM,6,Squash,squash@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Focus on advertising matches and social events to encourage students to watch or participate.,"Squash can be spectator friendly and offer social events, making it somewhat appealing to students outside of Imperial.",https://www.imperialcollegeunion.org/activities/a-to-z/squash
MEDIUM,6,Sudanese Society,union@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Highlight any events that showcase Sudanese culture and are open to the wider student community.,"Similar to Somali Society and Southern African Society, Sudanese Society focuses on cultural events.",https://www.imperialcollegeunion.org/activities/a-to-z/sudanese-society
MEDIUM,6,Swim and Waterpolo,swimming@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Highlight beginner-friendly sessions and social events to attract students who are looking to try a new sport.,Swim and Waterpolo offers a wide range of sessions for different skill levels and has a strong social component.,https://www.imperialcollegeunion.org/activities/a-to-z/swim-and-waterpolo
MEDIUM,6,Swiss,swisssoci@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Promote events celebrating Swiss culture to the wider student population.,"Similar to other cultural societies, Swiss Society could host events that showcase Swiss culture.",https://www.imperialcollegeunion.org/activities/a-to-z/swiss
MEDIUM,6,Synchronized Swimming,syncswimming@imperial.ac.uk,Sports,Sports enthusiasts; Dance students; Gymnastics enthusiasts,Emphasize the beginner-friendly nature of the club and the unique combination of skills involved.,"Synchronized Swimming offers a unique blend of sports, dance, and gymnastics, which may attract a diverse audience.",https://www.imperialcollegeunion.org/activities/a-to-z/synchronized-swimming
MEDIUM,6,Taekwondo,icutkd@imperial.ac.uk,Sports,Sports enthusiasts; Social students; Martial arts enthusiasts,Highlight their social events and inter-university collaborations to broaden reach.,"Taekwondo offers social events and competitions, promoting team spirit which may attract outside members.",https://www.imperialcollegeunion.org/activities/a-to-z/taekwondo
MEDIUM,6,Thai,thai@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Promote cultural celebrations or food events that provide an insight into Thai traditions and cuisine.,Thai Society's events could be more widely appealing if aimed at cultural exchange and integration.,https://www.imperialcollegeunion.org/activities/a-to-z/thai
MEDIUM,6,Traditional Chinese Medicine (TCM),ictcm@imperial.ac.uk,Cultural,Cultural students; Health enthusiasts; Alternative medicine enthusiasts,Promote introductory workshops and lectures explaining TCM principles and practices.,Traditional Chinese Medicine (TCM) provides potential for cultural and health-related learning open to all students.,https://www.imperialcollegeunion.org/activities/a-to-z/traditional-chinese-medicine-tcm
MEDIUM,6,Triathlon,triathlon@imperial.ac.uk,Sports,Sports enthusiasts; Social students; Training athletes,"Emphasize training programs, competitions and events.","Triathlon could collaborate with other universities, by inviting individuals to competitions or group training.",https://www.imperialcollegeunion.org/activities/a-to-z/triathlon
MEDIUM,6,Volleyball,volleyball.club@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Organize volleyball events to boost the team and boost the social side.,Volleyball encourages teamwork and creates a friendly environment through social activity.,https://www.imperialcollegeunion.org/activities/a-to-z/volleyball
MEDIUM,6,Wakeboarding,wakeboarding@imperial.ac.uk,Outdoor,Sports enthusiasts; Social students; Outdoor students,Encourage attendance from different universities by advertising sporting events.,Wakeboarding provides a thrilling sporting experience.,https://www.imperialcollegeunion.org/activities/a-to-z/wakeboarding
MEDIUM,6,Water Polo (ICSM),medics.waterpolo@imperial.ac.uk,Sports,Social students; Sports enthusiasts; ICSM students,Highlight LSN's ability to promote their social events and tour announcements to a wider audience.,"Sports clubs can sometimes attract a broader audience, especially for events like tournaments or social gatherings after matches. The social aspect and tours mentioned make this slightly more appealing.",https://www.imperialcollegeunion.org/activities/a-to-z/water-polo-icsm
MEDIUM,6,Yoga,yoga@imperial.ac.uk,Hobbies,Fitness enthusiasts; Wellness students; Stress-relief students,Offer LSN as a platform to promote their affordable yoga classes to students across London universities looking for stress relief.,Yoga classes are popular and could appeal to students from other universities seeking affordable fitness options. Promotion to other universities can help fill up classes.,https://www.imperialcollegeunion.org/activities/a-to-z/yoga
MEDIUM,5,Albanian Society,Albanian@imperial.ac.uk,Cultural,Cultural students; Social students,Ask about planned cultural events or celebrations that would be of interest to a broader audience.,"Albanian Society promotes culture, but description lacks specific event details.",https://www.imperialcollegeunion.org/activities/a-to-z/albanian-society
MEDIUM,5,Archery,archery.club@imperial.ac.uk,Sports,Sports enthusiasts,Inquire about beginner courses or tournaments that might be open to external observers.,"Archery is primarily a sports club, spectator events are uncommon.",https://www.imperialcollegeunion.org/activities/a-to-z/archery
MEDIUM,5,Artificial Intelligence (AI),aisociety@imperial.ac.uk,Academic Related,Tech enthusiasts; Career-focused students,Ask about potential public talks or workshops related to AI that could attract a broader audience.,AI society is career focused but may have some public talks.,https://www.imperialcollegeunion.org/activities/a-to-z/artificial-intelligence-ai
MEDIUM,5,Astronomy,astrosoc@imperial.ac.uk,Academic Related,Science enthusiasts,Inquire about public lectures or stargazing events open to students from other universities.,Astronomy may hold some public talks.,https://www.imperialcollegeunion.org/activities/a-to-z/astronomy
MEDIUM,5,Badminton,badminton@imperial.ac.uk,Sports,Sports enthusiasts; Social students,Promote their tournaments to attract a larger audience from other universities.,"Badminton is primarily a sports club, but tournaments may attract some spectators.",https://www.imperialcollegeunion.org/activities/a-to-z/badminton
MEDIUM,5,Barbell,ic.barbell@imperial.ac.uk,Sports,Sports enthusiasts; Fitness enthusiasts,Promote workshops on technique or public demonstrations of strength to attract broader interest.,"Barbell primarily focuses on competitive powerlifting and weightlifting, less spectator-focused.",https://www.imperialcollegeunion.org/activities/a-to-z/barbell
MEDIUM,5,Boat,boat@imperial.ac.uk,Sports,Sports enthusiasts; Fitness enthusiasts,Promote their races and regattas to attract a larger audience from other universities.,"Boat club focus is on training, but competitions can attract spectators.",https://www.imperialcollegeunion.org/activities/a-to-z/boat
MEDIUM,5,Canoe,canoe@imperial.ac.uk,Outdoor,Outdoor enthusiasts; Adventure seekers; Social students,Inquire about the possibility of opening up certain trips to students from other universities.,"Canoe trips could appeal to outdoor enthusiasts from other universities, but logistical challenges might limit cross-university participation.",https://www.imperialcollegeunion.org/activities/a-to-z/canoe
MEDIUM,5,Caving,ic.caving@imperial.ac.uk,Outdoor,Outdoor enthusiasts; Adventure seekers; Social students,Investigate possibilities for beginner-friendly caving events open to other universities.,"Caving trips may appeal to outdoor enthusiasts, but accessibility and specific skill requirements might limit reach.",https://www.imperialcollegeunion.org/activities/a-to-z/caving
MEDIUM,5,Composing & Songwriting,union@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music Lovers,Focus on open mic nights and workshops that welcome songwriters from other universities.,Composing and Songwriting can be niche and not as easy to target a larger audience.,https://www.imperialcollegeunion.org/activities/a-to-z/composing-songwriting
